2024-03-07 04:02:52 | Conf | use logdir run/2024-03-07-04-02-irseg-LASNet-
2024-03-07 08:46:01 | Iter | [ 43/500] loss=0.327/0.139, mPA=0.776, miou=0.491, avg=0.634
2024-03-07 08:46:05 | Save Iter = [ 43],  mPA=0.776, miou=0.491, avg=0.634
2024-03-07 08:52:52 | Iter | [ 44/500] loss=0.314/0.130, mPA=0.742, miou=0.498, avg=0.620
2024-03-07 08:59:22 | Iter | [ 45/500] loss=0.299/0.124, mPA=0.758, miou=0.489, avg=0.623
2024-03-07 09:06:00 | Iter | [ 46/500] loss=0.293/0.128, mPA=0.750, miou=0.501, avg=0.626
2024-03-07 09:12:41 | Iter | [ 47/500] loss=0.293/0.123, mPA=0.761, miou=0.496, avg=0.629
2024-03-07 09:19:16 | Iter | [ 48/500] loss=0.308/0.132, mPA=0.739, miou=0.490, avg=0.614
2024-03-07 09:25:50 | Iter | [ 49/500] loss=0.298/0.138, mPA=0.722, miou=0.483, avg=0.602
2024-03-07 09:32:21 | Iter | [ 50/500] loss=0.282/0.118, mPA=0.730, miou=0.501, avg=0.616
2024-03-07 09:39:00 | Iter | [ 51/500] loss=0.291/0.122, mPA=0.691, miou=0.479, avg=0.585
2024-03-07 09:45:36 | Iter | [ 52/500] loss=0.264/0.119, mPA=0.740, miou=0.498, avg=0.619
2024-03-07 09:52:10 | Iter | [ 53/500] loss=0.274/0.124, mPA=0.737, miou=0.481, avg=0.609
2024-03-07 09:58:48 | Iter | [ 54/500] loss=0.263/0.111, mPA=0.741, miou=0.506, avg=0.624
2024-03-07 10:05:25 | Iter | [ 55/500] loss=0.270/0.118, mPA=0.711, miou=0.501, avg=0.606
2024-03-07 10:12:06 | Iter | [ 56/500] loss=0.276/0.119, mPA=0.750, miou=0.478, avg=0.614
2024-03-07 10:18:44 | Iter | [ 57/500] loss=0.263/0.114, mPA=0.712, miou=0.486, avg=0.599
2024-03-07 10:25:17 | Iter | [ 58/500] loss=0.233/0.113, mPA=0.719, miou=0.493, avg=0.606
2024-03-07 10:31:55 | Iter | [ 59/500] loss=0.259/0.112, mPA=0.715, miou=0.495, avg=0.605
2024-03-07 10:38:38 | Iter | [ 60/500] loss=0.243/0.125, mPA=0.754, miou=0.478, avg=0.616
2024-03-07 10:45:18 | Iter | [ 61/500] loss=0.251/0.112, mPA=0.698, miou=0.496, avg=0.597
2024-03-07 10:51:58 | Iter | [ 62/500] loss=0.243/0.110, mPA=0.714, miou=0.496, avg=0.605
2024-03-07 10:58:40 | Iter | [ 63/500] loss=0.235/0.118, mPA=0.721, miou=0.488, avg=0.604
2024-03-07 11:05:24 | Iter | [ 64/500] loss=0.225/0.122, mPA=0.729, miou=0.494, avg=0.612
2024-03-07 11:12:09 | Iter | [ 65/500] loss=0.230/0.123, mPA=0.720, miou=0.495, avg=0.607
2024-03-07 11:18:56 | Iter | [ 66/500] loss=0.253/0.112, mPA=0.735, miou=0.505, avg=0.620
